MONTH,DAY_OF_MONTH,FL_DATE,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_NM,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_NM,DEP_DELAY,DEP_DELAY_NEW,CANCELLED,CANCELLATION_CODE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1,7,1/7/20,"Norfolk, VA",VA,Virginia,"Baltimore, MD",MD,Maryland,33,33,0,,0,0,0,0,33
1,13,1/13/20,"El Paso, TX",TX,Texas,"Los Angeles, CA",CA,California,26,26,0,,0,0,0,0,24
1,13,1/13/20,"Fort Lauderdale, FL",FL,Florida,"Orlando, FL",FL,Florida,3,3,0,,0,0,16,0,0
1,13,1/13/20,"Houston, TX",TX,Texas,"Atlanta, GA",GA,Georgia,25,25,0,,0,0,3,0,25
1,13,1/13/20,"Houston, TX",TX,Texas,"Atlanta, GA",GA,Georgia,50,50,0,,0,0,42,0,0
1,13,1/13/20,"Houston, TX",TX,Texas,"New Orleans, LA",LA,Louisiana,171,171,0,,0,0,169,0,0
1,27,1/27/20,"Dallas/Fort Worth, TX",TX,Texas,"Garden City, KS",KS,Kansas,49,49,0,,0,6,0,0,31
1,29,1/29/20,"Dallas/Fort Worth, TX",TX,Texas,"Garden City, KS",KS,Kansas,578,578,0,,0,559,0,0,9
1,27,1/27/20,"Harlingen/San Benito, TX",TX,Texas,"Dallas/Fort Worth, TX",TX,Texas,325,325,0,,0,325,12,0,0
1,12,1/12/20,"Duluth, MN",MN,Minnesota,"Chicago, IL",IL,Illinois,37,37,0,,0,0,17,0,37
1,23,1/23/20,"Duluth, MN",MN,Minnesota,"Chicago, IL",IL,Illinois,-3,0,0,,0,0,19,0,0
1,24,1/24/20,"Duluth, MN",MN,Minnesota,"Chicago, IL",IL,Illinois,0,0,0,,0,0,22,0,0
1,11,1/11/20,"Chicago, IL",IL,Illinois,"Duluth, MN",MN,Minnesota,86,86,0,,0,70,0,0,0
1,12,1/12/20,"Chicago, IL",IL,Illinois,"Duluth, MN",MN,Minnesota,22,22,0,,0,0,16,0,22
1,25,1/25/20,"Chicago, IL",IL,Illinois,"Duluth, MN",MN,Minnesota,53,53,0,,0,31,0,0,0
1,5,1/5/20,"New York, NY",NY,New York,"Norfolk, VA",VA,Virginia,29,29,0,,0,0,0,0,17
1,16,1/16/20,"Cincinnati, OH",KY,Kentucky,"Dallas/Fort Worth, TX",TX,Texas,-5,0,0,,0,0,17,0,0
1,1,1/1/20,"Chicago, IL",IL,Illinois,"Cincinnati, OH",KY,Kentucky,157,157,0,,0,0,0,0,150
1,18,1/18/20,"Chicago, IL",IL,Illinois,"Cincinnati, OH",KY,Kentucky,-2,0,0,,0,0,15,0,0
1,23,1/23/20,"Chicago, IL",IL,Illinois,"Cincinnati, OH",KY,Kentucky,47,47,0,,0,0,24,0,47
1,3,1/3/20,"Charlotte, NC",NC,North Carolina,"Greensboro/High Point, NC",NC,North Carolina,18,18,0,,0,0,0,0,15
1,6,1/6/20,"Charlotte, NC",NC,North Carolina,"Greensboro/High Point, NC",NC,North Carolina,100,100,0,,0,0,0,0,83
1,23,1/23/20,"Brownsville, TX",TX,Texas,"Dallas/Fort Worth, TX",TX,Texas,27,27,0,,0,0,0,0,23
1,23,1/23/20,"Dallas/Fort Worth, TX",TX,Texas,"Brownsville, TX",TX,Texas,61,61,0,,0,48,0,0,0
1,31,1/31/20,"Dallas/Fort Worth, TX",TX,Texas,"Brownsville, TX",TX,Texas,-5,0,0,,0,0,16,0,0
1,16,1/16/20,"Brownsville, TX",TX,Texas,"Dallas/Fort Worth, TX",TX,Texas,-3,0,0,,0,0,71,0,0
1,11,1/11/20,"Dallas/Fort Worth, TX",TX,Texas,"Brownsville, TX",TX,Texas,48,48,0,,0,0,0,0,40
1,18,1/18/20,"Dallas/Fort Worth, TX",TX,Texas,"Brownsville, TX",TX,Texas,55,55,0,,0,0,0,0,50
1,28,1/28/20,"Dallas/Fort Worth, TX",TX,Texas,"Brownsville, TX",TX,Texas,-10,0,0,,0,0,25,0,0
1,3,1/3/20,"Chicago, IL",IL,Illinois,"San Antonio, TX",TX,Texas,27,27,0,,0,0,18,0,27
1,3,1/3/20,"San Antonio, TX",TX,Texas,"Chicago, IL",IL,Illinois,43,43,0,,0,0,0,0,23
1,16,1/16/20,"Cleveland, OH",OH,Ohio,"Chicago, IL",IL,Illinois,-4,0,0,,0,0,16,0,0
1,15,1/15/20,"Lubbock, TX",TX,Texas,"Dallas/Fort Worth, TX",TX,Texas,26,26,0,,0,0,0,0,19
1,16,1/16/20,"Lubbock, TX",TX,Texas,"Dallas/Fort Worth, TX",TX,Texas,25,25,0,,0,0,9,0,23
1,17,1/17/20,"Lubbock, TX",TX,Texas,"Dallas/Fort Worth, TX",TX,Texas,66,66,0,,0,0,0,0,65
1,26,1/26/20,"Lubbock, TX",TX,Texas,"Dallas/Fort Worth, TX",TX,Texas,41,41,0,,0,0,0,0,30
1,10,1/10/20,"Cedar Rapids/Iowa City, IA",IA,Iowa,"Chicago, IL",IL,Illinois,49,49,0,,0,0,26,0,49
1,22,1/22/20,"Cedar Rapids/Iowa City, IA",IA,Iowa,"Chicago, IL",IL,Illinois,22,22,0,,0,0,16,0,22
1,23,1/23/20,"Cedar Rapids/Iowa City, IA",IA,Iowa,"Chicago, IL",IL,Illinois,21,21,0,,0,0,14,0,21
